,indie_game,action_game,platform_game,adventure_game,sci-fi,role-playing_video_game,puzzle_video_game,dates,lang
210,6604.0,15562.0,20344.0,35051.0,8389.0,9316.0,6131.0,2019-07-30,it
211,6117.0,16069.0,18811.0,35085.0,8505.0,9734.0,6860.0,2019-07-31,it
212,5511.0,14539.0,18178.0,33375.0,7896.0,9028.0,5511.0,2019-08-01,it
213,5523.0,15505.0,16539.0,32045.0,7672.0,8462.0,5293.0,2019-08-02,it
214,5578.0,13392.0,17059.0,31907.0,7339.0,8241.0,5351.0,2019-08-03,it
215,5424.0,14158.0,15981.0,32613.0,7696.0,8336.0,5192.0,2019-08-04,it
216,5096.0,14986.0,16793.0,33744.0,7813.0,8663.0,7429.0,2019-08-05,it
217,4935.0,14506.0,20495.0,33180.0,7893.0,8490.0,6431.0,2019-08-06,it
218,5108.0,13441.0,17917.0,32272.0,7866.0,8933.0,5655.0,2019-08-07,it
219,4678.0,13773.0,15886.0,31881.0,7675.0,8610.0,5337.0,2019-08-08,it
220,5374.0,16208.0,15178.0,30893.0,7932.0,8737.0,5697.0,2019-08-09,it
221,5188.0,14448.0,15686.0,31060.0,7391.0,8196.0,5479.0,2019-08-10,it
222,5198.0,15520.0,16569.0,33643.0,8218.0,8716.0,5279.0,2019-08-11,it
223,5086.0,14932.0,17318.0,34628.0,8197.0,8979.0,5332.0,2019-08-12,it
224,4932.0,13662.0,21093.0,31959.0,8304.0,8883.0,5152.0,2019-08-13,it
225,4884.0,14969.0,17637.0,31529.0,7734.0,8480.0,5348.0,2019-08-14,it
226,5135.0,20736.0,15573.0,29839.0,9887.0,8083.0,4981.0,2019-08-15,it
227,6028.0,17158.0,18125.0,34493.0,8804.0,9092.0,5389.0,2019-08-16,it
228,5534.0,31466.0,17259.0,33218.0,8542.0,8871.0,5162.0,2019-08-17,it
229,6057.0,17719.0,19555.0,37201.0,8762.0,10073.0,6130.0,2019-08-18,it
230,6528.0,16070.0,19624.0,35515.0,9403.0,9591.0,5407.0,2019-08-19,it
231,5546.0,15345.0,20004.0,33958.0,9587.0,9544.0,5309.0,2019-08-20,it
232,5574.0,15910.0,28283.0,34364.0,8966.0,9001.0,5577.0,2019-08-21,it
233,5573.0,16073.0,31981.0,46936.0,9195.0,9437.0,5488.0,2019-08-22,it
234,6025.0,16949.0,34296.0,40221.0,8998.0,9405.0,6206.0,2019-08-23,it
235,5602.0,15570.0,32670.0,34633.0,9306.0,9507.0,5601.0,2019-08-24,it
236,5819.0,15940.0,32955.0,35409.0,9382.0,9853.0,5676.0,2019-08-25,it
237,5296.0,15289.0,28498.0,34206.0,9360.0,9807.0,5564.0,2019-08-26,it
238,5383.0,15809.0,29194.0,35620.0,12184.0,9902.0,6091.0,2019-08-27,it
239,5260.0,16804.0,30940.0,40682.0,9805.0,9503.0,6639.0,2019-08-28,it
240,5534.0,15836.0,26614.0,36076.0,8987.0,9022.0,6082.0,2019-08-29,it
241,5503.0,15819.0,25531.0,33811.0,8908.0,9323.0,6165.0,2019-08-30,it
242,5129.0,19684.0,26813.0,36326.0,8521.0,8624.0,5657.0,2019-08-31,it
