,single_player_video_game,co_op_mode,multiplayer_video_game,lang,dates
361,175300.0,12230.0,79942.0,it,2019-12-28
362,183438.0,12334.0,80194.0,it,2019-12-29
363,169844.0,11819.0,73667.0,it,2019-12-30
364,158691.0,9919.0,66757.0,it,2019-12-31
365,172619.0,12257.0,76612.0,it,2020-01-01
366,188840.0,12837.0,82913.0,it,2020-01-02
367,181160.0,12405.0,79223.0,it,2020-01-03
368,180009.0,11916.0,84091.0,it,2020-01-04
369,184108.0,12495.0,86870.0,it,2020-01-05
370,176760.0,11679.0,77736.0,it,2020-01-06
371,153038.0,10792.0,65827.0,it,2020-01-07
372,152345.0,9789.0,74241.0,it,2020-01-08
373,153030.0,9919.0,68881.0,it,2020-01-09
374,143986.0,10028.0,63564.0,it,2020-01-10
375,143184.0,10352.0,61798.0,it,2020-01-11
376,170879.0,11356.0,72226.0,it,2020-01-12
377,172064.0,10781.0,84612.0,it,2020-01-13
378,145407.0,9890.0,60990.0,it,2020-01-14
379,137305.0,10781.0,58068.0,it,2020-01-15
380,157904.0,10100.0,68214.0,it,2020-01-16
381,141930.0,9529.0,59796.0,it,2020-01-17
382,150258.0,10287.0,61812.0,it,2020-01-18
383,166115.0,10981.0,69206.0,it,2020-01-19
384,152241.0,9838.0,69734.0,it,2020-01-20
385,141278.0,9995.0,60879.0,it,2020-01-21
386,137996.0,9532.0,57508.0,it,2020-01-22
387,145256.0,9553.0,60919.0,it,2020-01-23
388,139131.0,9475.0,58277.0,it,2020-01-24
389,146130.0,10252.0,61459.0,it,2020-01-25
390,149292.0,9820.0,63288.0,it,2020-01-26
391,134502.0,9518.0,60738.0,it,2020-01-27
392,143726.0,9961.0,60383.0,it,2020-01-28
393,141410.0,9946.0,59926.0,it,2020-01-29
394,142051.0,9694.0,63452.0,it,2020-01-30
395,137169.0,10019.0,59330.0,it,2020-01-31
396,140386.0,9884.0,60062.0,it,2020-02-01
397,149442.0,10473.0,66157.0,it,2020-02-02
398,148677.0,9404.0,61277.0,it,2020-02-03
399,138410.0,9105.0,60031.0,it,2020-02-04
400,139075.0,9742.0,60677.0,it,2020-02-05
401,128710.0,8566.0,58020.0,it,2020-02-06
402,124415.0,8396.0,54572.0,it,2020-02-07
403,132061.0,8854.0,59801.0,it,2020-02-08
404,144676.0,9839.0,66655.0,it,2020-02-09
405,139287.0,9566.0,60938.0,it,2020-02-10
406,132205.0,9118.0,57071.0,it,2020-02-11
407,130330.0,8780.0,56173.0,it,2020-02-12
408,127328.0,8722.0,53595.0,it,2020-02-13
409,125301.0,8450.0,51174.0,it,2020-02-14
410,135889.0,9309.0,57661.0,it,2020-02-15
411,158011.0,10742.0,69000.0,it,2020-02-16
412,136839.0,9208.0,58356.0,it,2020-02-17
413,132879.0,9275.0,55712.0,it,2020-02-18
414,129097.0,9103.0,54910.0,it,2020-02-19
415,126277.0,8977.0,52565.0,it,2020-02-20
416,120353.0,8895.0,50902.0,it,2020-02-21
417,130576.0,11139.0,58067.0,it,2020-02-22
418,148021.0,11506.0,64477.0,it,2020-02-23
419,133306.0,10860.0,58530.0,it,2020-02-24
420,134134.0,10477.0,57797.0,it,2020-02-25
421,139080.0,10894.0,58045.0,it,2020-02-26
422,138738.0,11469.0,58857.0,it,2020-02-27
423,139460.0,11680.0,60232.0,it,2020-02-28
424,156771.0,11243.0,74120.0,it,2020-02-29
425,168685.0,13140.0,73147.0,it,2020-03-01
426,166188.0,11934.0,65379.0,it,2020-03-02
427,156195.0,11113.0,63407.0,it,2020-03-03
428,142580.0,10481.0,59511.0,it,2020-03-04
429,150734.0,11763.0,65268.0,it,2020-03-05
430,154768.0,11909.0,68426.0,it,2020-03-06
431,166389.0,11820.0,78546.0,it,2020-03-07
432,155505.0,12473.0,71961.0,it,2020-03-08
433,156658.0,12640.0,71852.0,it,2020-03-09
434,158237.0,13464.0,74976.0,it,2020-03-10
435,163552.0,14652.0,79705.0,it,2020-03-11
